temporada_id;rodada_id;clube_id;partida_id;clube_nome;clube_gol_pro;clube_gol_contra;clube_ca;clube_adv_ca;clube_cv;clube_adv_cv;clube_mand
2016;38;266;2016_38_266;Fluminense;1;1;1;1;0;0;1
2016;38;284;2016_38_284;Grêmio;0;1;2;4;0;1;1
2016;38;276;2016_38_276;São Paulo;5;0;2;1;1;0;1
2016;38;283;2016_38_283;Cruzeiro;3;2;2;4;0;0;1
2016;38;292;2016_38_292;Sport;2;0;5;2;0;0;1
2016;38;293;2016_38_293;Athletico-PR;0;0;2;6;0;1;1
2016;38;287;2016_38_287;Vitória;1;2;1;6;0;0;1
2016;38;303;2016_38_303;Ponte Preta;2;0;0;1;0;0;1
2016;1;293;2016_1_293;Athletico-PR;0;4;4;1;1;0;0
2016;1;292;2016_1_292;Sport;0;1;1;2;1;0;0
2016;1;277;2016_1_277;Santos;0;1;2;2;0;0;0
2016;1;283;2016_1_283;Cruzeiro;0;1;3;1;2;0;0
2016;1;287;2016_1_287;Vitória;1;4;0;3;0;0;0
2016;1;276;2016_1_276;São Paulo;1;0;5;1;0;0;0
2016;1;303;2016_1_303;Ponte Preta;0;0;5;2;0;0;0
2016;1;284;2016_1_284;Grêmio;0;0;4;1;0;0;0
2016;1;266;2016_1_266;Fluminense;1;0;0;0;0;0;0
2016;1;315;2016_1_315;Chapecoense;0;0;4;3;1;0;0
2016;2;275;2016_2_275;Palmeiras;1;2;4;3;0;0;0
2016;2;344;2016_2_344;Santa Cruz;2;2;5;3;0;0;0
2016;2;316;2016_2_316;Figueirense;2;2;1;3;0;0;0
2016;2;294;2016_2_294;Coritiba;1;2;2;5;0;0;0
2016;2;282;2016_2_282;Atlético-MG;1;1;1;3;0;0;0
