temporada_id;rodada_id;clube_mand_id;partida_id;clube_mand;clube_gol_pro;clube_gol_contra;clube_ca;clube_adv_ca;clube_cv;clube_adv_cv;clube_mand
2015;35;315;2015_35_315;Chapecoense;1;0;4;3;0;1;1
2015;35;276;2015_35_276;São Paulo;4;2;0;0;0;0;1
2015;35;277;2015_35_277;Santos;0;0;2;2;0;1;1
2015;35;267;2015_35_267;Vasco;1;1;2;3;1;0;1
2015;36;275;2015_36_275;Palmeiras;1;1;2;1;0;0;1
2015;36;317;2015_36_317;Joinville;1;2;5;4;1;0;1
2015;36;282;2015_36_282;Atlético-MG;2;2;3;3;0;0;1
2015;36;285;2015_36_285;Internacional;1;0;4;2;0;0;1
2015;36;316;2015_36_316;Figueirense;0;0;1;3;0;0;1
2015;36;264;2015_36_264;Corinthians;6;1;2;2;0;0;1
2015;36;262;2015_36_262;Flamengo;1;1;3;3;0;0;1
2015;36;266;2015_36_266;Fluminense;3;1;2;3;0;0;1
2015;36;294;2015_36_294;Coritiba;1;0;3;3;0;1;1
2015;36;292;2015_36_292;Sport;0;0;3;2;0;0;1
2015;37;276;2015_37_276;São Paulo;3;2;1;4;0;0;1
2015;37;266;2015_37_266;Fluminense;1;1;3;4;1;0;1
2015;37;314;2015_37_314;Avaí;1;0;1;2;0;1;1
2015;37;292;2015_37_292;Sport;2;0;6;3;0;0;1
2015;37;283;2015_37_283;Cruzeiro;3;0;2;3;0;0;1
2015;37;284;2015_37_284;Grêmio;2;1;3;5;0;0;1
2015;37;315;2015_37_315;Chapecoense;1;3;5;3;0;0;1
2015;37;267;2015_37_267;Vasco;1;0;3;2;0;0;1
2015;37;275;2015_37_275;Palmeiras;0;2;3;3;0;0;1
2015;37;293;2015_37_293;Athletico-PR;3;0;1;3;0;0;1
2015;38;285;2015_38_285;Internacional;2;0;2;1;0;0;1
2015;38;262;2015_38_262;Flamengo;1;2;0;1;0;0;1
2015;38;316;2015_38_316;Figueirense;1;0;4;4;0;0;1
