temporada_id;rodada_id;rodada_id;clube_id;clube_nome;clube_vis;clube_mand_gol;clube_vis_gol;clube_mand_ca;clube_vis_ca;clube_mand_cv;clube_vis_cv
2018;35;2018_35_284;284;Grêmio;2;0;2;2;0;0;1
2018;35;2018_35_266;266;Fluminense;0;0;4;3;0;0;1
2018;36;2018_36_285;285;Internacional;1;2;1;2;0;0;1
2018;36;2018_36_277;277;Santos;1;1;2;2;0;0;1
2018;36;2018_36_293;293;Athletico-PR;1;0;2;4;0;0;1
2018;36;2018_36_275;275;Palmeiras;4;0;0;6;0;0;1
2018;36;2018_36_262;262;Flamengo;2;0;2;3;0;0;1
2018;36;2018_36_283;283;Cruzeiro;3;0;2;1;0;0;1
2018;36;2018_36_267;267;Vasco;2;0;2;4;0;0;1
2018;36;2018_36_366;366;Ceará;1;0;2;1;0;0;1
2018;36;2018_36_265;265;Bahia;2;0;2;1;0;0;1
2018;36;2018_36_315;315;Chapecoense;2;1;2;1;0;0;1
2018;37;2018_37_277;277;Santos;3;2;4;1;1;0;1
2018;37;2018_37_293;293;Athletico-PR;2;2;3;4;0;0;1
2018;37;2018_37_283;283;Cruzeiro;0;2;6;3;0;0;1
2018;37;2018_37_287;287;Vitória;0;0;2;4;0;0;1
2018;37;2018_37_267;267;Vasco;0;1;4;5;1;0;1
2018;37;2018_37_285;285;Internacional;2;0;3;2;0;1;1
2018;37;2018_37_327;327;América-MG;1;0;2;2;0;1;1
2018;37;2018_37_264;264;Corinthians;0;0;2;1;0;0;1
2018;37;2018_37_263;263;Botafogo;2;1;1;3;0;0;1
2018;37;2018_37_276;276;São Paulo;0;0;2;3;0;1;1
2018;38;2018_38_262;262;Flamengo;1;2;4;1;1;1;1
2018;38;2018_38_282;282;Atlético-MG;1;0;4;3;0;0;1
2018;38;2018_38_366;366;Ceará;0;0;3;2;1;0;1
2018;38;2018_38_284;284;Grêmio;1;0;2;4;0;0;1
2018;38;2018_38_265;265;Bahia;0;0;4;1;0;0;1
2018;38;2018_38_292;292;Sport;2;1;3;1;0;0;1
2018;38;2018_38_383;383;Paraná;1;1;1;2;1;0;1
2018;38;2018_38_266;266;Fluminense;1;0;5;2;0;0;1
2018;38;2018_38_315;315;Chapecoense;1;0;0;3;0;0;1
2018;38;2018_38_275;275;Palmeiras;3;2;2;2;0;0;1
2018;1;2018_1_284;284;Grêmio;1;0;1;3;1;0;0
2018;1;2018_1_262;262;Flamengo;2;2;2;3;1;0;0
2018;1;2018_1_366;366;Ceará;0;2;1;0;0;0;0
2018;1;2018_1_292;292;Sport;0;3;3;1;0;0;0
2018;1;2018_1_282;282;Atlético-MG;1;2;3;4;0;0;0
2018;1;2018_1_265;265;Bahia;0;2;0;2;0;0;0
2018;1;2018_1_266;266;Fluminense;1;2;0;0;0;0;0
2018;1;2018_1_315;315;Chapecoense;1;5;3;1;0;0;0
2018;1;2018_1_383;383;Paraná;0;1;2;4;0;0;0
2018;1;2018_1_275;275;Palmeiras;1;1;4;1;0;0;0
2018;2;2018_2_277;277;Santos;0;1;3;4;0;0;0
2018;2;2018_2_327;327;América-MG;0;2;1;1;0;0;0
2018;2;2018_2_264;264;Corinthians;4;0;1;1;0;0;0
2018;2;2018_2_276;276;São Paulo;0;0;1;1;0;0;0
2018;2;2018_2_287;287;Vitória;1;2;4;2;0;0;0
2018;2;2018_2_283;283;Cruzeiro;0;1;2;3;0;1;0
2018;2;2018_2_267;267;Vasco;1;1;2;1;0;0;0
